[\]	2S	3S	4S	5S	6S	7S	8S	9S	10S	JS	QS	KS	AS	2D	3D	4D	5D	6D	7D	8D	9D	10D	JD	QD	KD	AD	2H	3H	4H	5H	6H	7H	8H	9H	10H	JH	QH	KH	AH	2C	3C	4C	5C	6C	7C	8C	9C	10C	JC	QC	KC	AC	
2S	 	1	5	3	8	2	3	4	5	4	3	13	24	3	2	 	1	2	6	6	8	6	20	6	17	21	4	1	2	3	1	4	6	8	6	5	11	10	32	4	2	1	5	2	2	5	5	3	6	4	25	22	
3S	 	 	3	3	4	8	8	5	6	1	8	15	24	1	3	 	2	4	4	4	4	5	6	8	10	31	2	1	1	3	3	4	6	2	8	3	9	15	27	 	 	4	2	4	8	5	4	3	8	10	15	30	
4S	 	 	 	5	5	5	5	5	12	6	6	13	19	3	2	5	8	4	4	4	6	8	8	6	17	23	1	1	9	2	5	9	5	3	2	5	8	15	29	4	2	5	4	4	6	2	5	2	4	11	11	24	
5S	 	 	 	 	4	8	5	8	5	3	9	15	32	3	8	2	5	5	6	5	8	8	8	8	11	29	4	8	3	6	6	2	4	2	1	10	8	15	36	5	1	5	9	2	3	9	6	3	8	9	11	29	
6S	 	 	 	 	 	6	6	12	8	11	11	13	37	4	2	3	3	15	8	5	3	10	8	8	11	37	4	5	3	4	18	8	2	5	5	10	9	18	29	 	1	1	6	17	4	5	9	10	12	8	11	29	
7S	 	 	 	 	 	 	15	5	10	16	8	18	33	6	5	5	6	4	21	12	9	10	4	9	17	38	3	2	5	4	5	25	6	11	8	8	9	19	32	3	6	3	8	6	11	17	8	5	9	10	18	33	
8S	 	 	 	 	 	 	 	9	12	12	8	19	41	8	4	3	8	6	4	23	8	8	5	10	18	40	4	8	8	3	11	5	30	11	13	8	9	27	35	6	5	1	4	4	4	18	8	10	9	15	20	38	
9S	 	 	 	 	 	 	 	 	12	8	15	26	46	8	3	8	8	8	10	3	26	9	9	10	20	36	3	8	8	6	5	8	13	26	8	8	12	19	39	5	3	8	4	5	10	6	20	12	17	21	20	42	
10S	 	 	 	 	 	 	 	 	 	11	15	22	53	8	3	5	8	8	8	11	15	29	12	20	25	45	6	3	2	10	2	6	10	5	32	12	18	27	44	6	5	6	5	9	9	10	11	24	15	13	23	47	
JS	 	 	 	 	 	 	 	 	 	 	12	22	52	4	8	8	6	8	10	11	12	15	38	13	15	52	6	6	11	5	5	8	8	6	13	26	12	25	59	5	9	8	9	10	8	12	15	13	36	18	17	50	
QS	 	 	 	 	 	 	 	 	 	 	 	19	58	6	8	6	6	8	13	12	15	17	18	46	26	58	5	12	4	9	10	12	12	15	18	12	34	26	53	10	8	9	6	5	9	12	13	16	20	45	26	57	
KS	 	 	 	 	 	 	 	 	 	 	 	 	69	11	18	18	10	12	17	21	24	26	32	24	43	65	11	8	11	12	17	15	21	25	17	31	29	51	60	12	9	11	17	18	11	18	17	23	29	27	57	57	
AS	 	 	 	 	 	 	 	 	 	 	 	 	 	26	30	24	37	29	37	37	42	33	44	61	50	74	27	23	27	22	36	36	43	36	46	43	48	63	75	32	30	29	32	36	35	43	48	50	47	52	57	66	
2D	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	2	6	5	3	8	4	3	6	10	35	3	1	1	3	3	4	5	4	10	1	8	12	30	5	2	3	2	5	1	3	2	3	4	5	9	30	
